binomial,latitude,area,order,family,ebird_name,treelabels,clumin,clumax,bodmin,bodmax,is,migratory,mode,land,clu_geom,mass_geom
Myrmecocichla aethiops,13.267276160749196,2151992513056.41,Passeriformes,Muscicapidae,Myrmecocichla_aethiops,Myrmecocichla_aethiops,2,5,47,66,N,NA,altricial,land,3.162277660168379,55.69560126257724
Myrmecocichla arnotti,-13.41807540679246,3102065565941.44,Passeriformes,Muscicapidae,Myrmecocichla_arnotti,Myrmecocichla_arnoti,2,4,35,35,N,NA,altricial,land,2.82842712474619,34.99999999999999
Myrmecocichla monticola,-26.770588965927335,1391042282186.63,Passeriformes,Muscicapidae,Myrmecocichla_monticola,Oenanthe_monticola,2,4,31,35,N,NA,altricial,land,2.82842712474619,32.939338184001215
Myrmecocichla nigra,-5.589891831422286,3503538897158.32,Passeriformes,Muscicapidae,Myrmecocichla_nigra,Myrmecocichla_nigra,2,5,37,46,N,NA,altricial,land,3.162277660168379,41.25530268947253
Myrmelastes hyperythrus,-7.111194360544173,1642348581045,Passeriformes,Thamnophilidae,Myrmelastes_hyperythrus,Myrmeciza_hyperythra,2,2,38,44,N,NA,altricial,land,2,40.89009660052175
Myrmia micrura,-4.733983660120075,70858796084.9995,Caprimulgiformes,Trochilidae,Myrmia_micrura,Myrmia_micrura,2,2,2.2,2.4,N,NA,altricial,land,2,2.2978250586152114
Myrmoborus leucophrys,-4.890149852091528,5108583393350.92,Passeriformes,Thamnophilidae,Myrmoborus_leucophrys,Myrmoborus_leucophrys,2,2,18,22,N,NA,altricial,land,2,19.8997487421324
Myrmoborus myotherinus,-6.181108049950782,4777029498627.48,Passeriformes,Thamnophilidae,Myrmoborus_myotherinus,Myrmoborus_myotherinus,1,2,16,22,N,NA,altricial,land,1.414213562373095,18.761663039293722
Myrmoderus ferrugineus,0.0647189196889396,1286506703214.67,Passeriformes,Thamnophilidae,Myrmoderus_ferrugineus,Myrmeciza_ferruginea,2,2,24,29,N,NA,altricial,land,2,26.381811916545843
Myrmorchilus strigilatus,-15.548855291751607,1728828969317.19,Passeriformes,Thamnophilidae,Myrmorchilus_strigilatus,Myrmorchilus_strigilatus,2,2,23,26,N,NA,altricial,land,2,24.454038521274963
Myrmornis torquata,-0.9000046065733011,2981879458838.88,Passeriformes,Thamnophilidae,Myrmornis_torquata,Myrmornis_torquata,1,1,40,50,N,NA,altricial,land,1,44.72135954999579
Myrmothera campanisona,-2.56542474743298,4556208496696.99,Passeriformes,Grallariidae,Myrmothera_campanisona,Myrmothera_campanisona,2,2,39.5,64,N,NA,altricial,land,2,50.27922035990613
