order,family,name,genus,species,sea
Suliformes,Sulidae,Brown Booby,Sula,leucogaster,pelagic
Suliformes,Sulidae,Red-footed Booby,Sula,sula,pelagic
Suliformes,Sulidae,Abbott's Booby,Papasula,abbotti,pelagic
Suliformes,Sulidae,Northern Gannet,Morus,bassanus,pelagic
Suliformes,Sulidae,Cape Gannet,Morus,capensis,offshore
Suliformes,Sulidae,Australasian Gannet,Morus,serrator,offshore
Pelecaniformes,Pelecanidae,American White Pelican,Pelecanus,erythrorhynchos,coastal
Pelecaniformes,Pelecanidae,Brown Pelican,Pelecanus,occidentalis,offshore
Pelecaniformes,Pelecanidae,Peruvian Pelican,Pelecanus,thagus,coastal
Pelecaniformes,Pelecanidae,Great White Pelican,Pelecanus,onocrotalus,coastal
Pelecaniformes,Pelecanidae,Australian Pelican,Pelecanus,conspicillatus,coastal
Pelecaniformes,Pelecanidae,Pink-backed Pelican,Pelecanus,rufescens,coastal
Pelecaniformes,Pelecanidae,Spot-billed Pelican,Pelecanus,philippensis,coastal
Pelecaniformes,Pelecanidae,Dalmatian Pelican,Pelecanus,crispus,coastal
Anseriformes,Anatidae,Flying Steamer-Duck,Tachyeres,patachonicus,coastal
Anseriformes,Anatidae,Flightless Steamer-Duck,Tachyeres,pteneres,coastal
Anseriformes,Anatidae,Falkland Steamer-Duck,Tachyeres,brachypterus,coastal
Anseriformes,Anatidae,White-headed Steamer-Duck,Tachyeres,leucocephalus,coastal
Anseriformes,Anatidae,Steller's Eider,Polysticta,stelleri,coastal
Anseriformes,Anatidae,Spectacled Eider,Somateria,fischeri,offshore
Anseriformes,Anatidae,King Eider,Somateria,spectabilis,offshore
Anseriformes,Anatidae,Common Eider,Somateria,mollissima,offshore
Anseriformes,Anatidae,Harlequin Duck,Histrionicus,histrionicus,coastal
Anseriformes,Anatidae,Surf Scoter,Melanitta,perspicillata,coastal
Anseriformes,Anatidae,Velvet Scoter,Melanitta,fusca,coastal
Anseriformes,Anatidae,White-winged Scoter,Melanitta,deglandi,coastal
Anseriformes,Anatidae,Stejneger's Scoter,Melanitta,stejnegeri,coastal
Anseriformes,Anatidae,Common Scoter,Melanitta,nigra,coastal
Anseriformes,Anatidae,Black Scoter,Melanitta,americana,coastal
Anseriformes,Anatidae,Long-tailed Duck,Clangula,hyemalis,offshore
Anseriformes,Anatidae,Bufflehead,Bucephala,albeola,coastal
Anseriformes,Anatidae,Common Goldeneye,Bucephala,clangula,coastal
Anseriformes,Anatidae,Barrow's Goldeneye,Bucephala,islandica,coastal
Anseriformes,Anatidae,Smew,Mergellus,albellus,coastal
Anseriformes,Anatidae,Common Merganser,Mergus,merganser,coastal
Anseriformes,Anatidae,Red-breasted Merganser,Mergus,serrator,offshore
